,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.007325458526611328,0.0003187362476170579,0.0033814430236816405,0.0007723629156103862,2,{'max_depth': 2},-29.118475468627533,-28.76155742053212,-32.159688361784795,-28.956229025066488,-28.577518901052002,-29.514693835412583,1.3349441411627998,5
1,0.00992879867553711,0.0012354298888100068,0.0032281875610351562,0.0003727961269346933,3,{'max_depth': 3},-28.09240544798716,-27.779769480197324,-31.478690488010432,-28.791409668121126,-28.08659890340132,-28.845774797543477,1.3576068173158173,4
2,0.012438011169433594,0.0006584134673659012,0.0032751083374023436,0.00020112431736808419,4,{'max_depth': 4},-28.802706288279975,-27.006333839444025,-30.906744522422606,-28.554556415039638,-27.326787509951906,-28.51942571502763,1.3778683572512027,3
3,0.013934946060180664,0.0011654884371738144,0.003071308135986328,0.00020675067523641085,5,{'max_depth': 5},-28.005787603199558,-26.117235198743554,-31.028679146081654,-27.846210701025466,-27.39958675227502,-28.079499880265054,1.6168042692189346,1
4,0.015015792846679688,0.0020741505131491094,0.003064537048339844,0.000534898712940916,6,{'max_depth': 6},-28.38204991257541,-25.978954016633782,-31.63398091913285,-28.270906306894823,-27.9025245602853,-28.433683143104428,1.8209279320500023,2
5,0.013380908966064453,0.0015090639248865972,0.0024312019348144533,0.0003474351306130879,7,{'max_depth': 7},-29.777005784797396,-27.036587437434278,-32.222970431021565,-30.046693042070743,-28.87252586625657,-29.59115651231611,1.6858677972197613,6
6,0.015546846389770507,0.0027430047698767277,0.0023277759552001952,3.5206796172497174e-05,8,{'max_depth': 8},-31.196913633510295,-27.742899823932593,-34.28225074188925,-29.92519810745816,-28.777370556722044,-30.384926572702465,2.263817599283698,7
7,0.014196157455444336,0.001715219547406424,0.0018263816833496093,0.00023399612550008357,9,{'max_depth': 9},-32.526928076723884,-29.465756194792128,-34.50548983060981,-30.59489086104408,-29.87098941859281,-31.39281087635254,1.8783582588157126,8
