,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02335195541381836,0.001261140872185904,0.002716064453125,0.00014961118238029838,2,{'min_samples_split': 2},-37.0590110098705,-35.13282619133388,-38.7750431109234,-35.09146212806919,-37.19060194479074,-36.64978887699755,1.393284259099361,21
1,0.01966543197631836,0.00485291644183653,0.003066396713256836,0.0011078532632590914,22,{'min_samples_split': 22},-31.307552803151335,-28.22323299892933,-33.86896142132891,-29.378215065547618,-31.93929096045871,-30.943450649883182,1.976483143315816,20
2,0.02010340690612793,0.0014918447264308913,0.003281831741333008,0.0002419749143679017,42,{'min_samples_split': 42},-29.472723805006023,-27.857100392379063,-31.915096083560996,-28.142719242565537,-28.586747865991086,-29.194877477900537,1.465830409814046,19
3,0.017405271530151367,0.0029608054610672676,0.0032497406005859374,0.0006964455328802578,62,{'min_samples_split': 62},-28.62160177786826,-26.823830924275892,-31.611314588125097,-27.900073669242595,-27.3689366836128,-28.465151528624926,1.6815321571294157,10
4,0.013686466217041015,0.0012294691780483983,0.002351522445678711,6.597210534181636e-05,82,{'min_samples_split': 82},-28.88921744788096,-26.283431671075295,-30.894172505950642,-27.83197791334307,-27.245799968853444,-28.22891990142068,1.5778831701959206,6
5,0.010597324371337891,0.0005606925081374426,0.0025806427001953125,0.0004198288652096394,102,{'min_samples_split': 102},-28.721554567432104,-26.351690697581603,-30.21460944040888,-27.96372155644312,-26.982158215347464,-28.046746895442634,1.3541381898944602,3
6,0.01091628074645996,0.0013661274019096843,0.002464914321899414,0.0006563330588886638,122,{'min_samples_split': 122},-28.801017294176013,-26.165324366881784,-30.187886848622078,-28.031184459935197,-26.52432236018953,-27.94194706596092,1.4802877083949295,1
7,0.010349702835083009,0.0006690859555675632,0.002244377136230469,0.00027946907182484595,142,{'min_samples_split': 142},-28.73591766178644,-26.396988058286457,-30.4761093167698,-27.877198023215858,-26.5947748166548,-28.01619757534267,1.4987171696470543,2
8,0.009154081344604492,0.0006930018801921741,0.0023502826690673826,0.00011959408644408649,162,{'min_samples_split': 162},-28.597332651458586,-26.38081458134082,-30.857115488962943,-27.81130565379757,-26.593784218051407,-28.048070518722266,1.6213063338930072,4
9,0.009288835525512695,0.0007338370091671957,0.002410745620727539,0.000288897473793424,182,{'min_samples_split': 182},-28.277185428145238,-26.305007672127935,-31.098645113183704,-27.912043263841586,-26.784672992450556,-28.075510893949804,1.6737788944641225,5
10,0.008954048156738281,0.00040805441156674377,0.0023206233978271484,0.00012179998551062987,202,{'min_samples_split': 202},-28.49789943174584,-26.280675694466563,-31.34552530639313,-28.54589358070468,-26.559839764982904,-28.24596675565862,1.814722158732882,7
11,0.008755016326904296,0.0009588799191020429,0.0023317337036132812,0.00010257785849403144,222,{'min_samples_split': 222},-28.248921494716228,-26.64860516201462,-31.427501537344835,-28.482982711118932,-26.77745239208784,-28.317092659456495,1.7240158286171323,8
12,0.007982635498046875,0.00047690235169111804,0.002745389938354492,0.0002492925458498833,242,{'min_samples_split': 242},-28.248921494716228,-27.150219339462858,-31.427501537344835,-28.453111762820658,-26.92168583855378,-28.44028799457967,1.6081455145342332,9
13,0.007712554931640625,0.0008699175974124356,0.0026223182678222655,0.0002361373676744846,262,{'min_samples_split': 262},-29.101868447976088,-27.150219339462858,-31.427501537344835,-28.453111762820658,-26.92168583855378,-28.61087738523164,1.6239595954095678,11
14,0.008261775970458985,0.0006938182133111964,0.0027051925659179687,0.00027924805364318604,282,{'min_samples_split': 282},-29.101868447976088,-27.150960286983533,-31.41775141325398,-28.551069971667225,-27.050580094612794,-28.654446042898723,1.592456303250653,12
15,0.008045482635498046,0.0003717880516841306,0.002615213394165039,0.0001651225872376038,302,{'min_samples_split': 302},-29.101868447976088,-27.271034836414746,-31.59200539564382,-28.551069971667225,-27.406092102202823,-28.78441415078094,1.5638340035766383,13
16,0.007976388931274414,0.00040306722596153107,0.0024797916412353516,0.0003715283381246758,322,{'min_samples_split': 322},-29.101868447976088,-27.27249808649629,-31.59200539564382,-28.445536835089094,-27.605160172314122,-28.80341378750388,1.5344646535077082,14
17,0.007570600509643555,0.0005236063831376895,0.002424764633178711,0.000352889987556119,342,{'min_samples_split': 342},-29.101868447976088,-27.27249808649629,-31.52235859984028,-28.70147186996389,-27.605160172314122,-28.840671435318136,1.50097982529706,17
18,0.007159996032714844,0.0003974363312599814,0.0023941993713378906,0.00011574665855694745,362,{'min_samples_split': 362},-29.054189995228402,-27.27249808649629,-31.52235859984028,-28.70147186996389,-27.605160172314122,-28.831135744768595,1.4994408176902079,16
19,0.007053470611572266,0.0003925510636975768,0.002200460433959961,0.0003491698038630346,382,{'min_samples_split': 382},-29.054189995228402,-27.27249808649629,-31.52235859984028,-28.70147186996389,-27.56822229656183,-28.823748169618135,1.5055414455172467,15
20,0.006293630599975586,0.000511676546571559,0.0018340587615966798,0.00024641187504836394,402,{'min_samples_split': 402},-29.23397204719226,-27.374151186349224,-31.5453393286032,-28.70147186996389,-27.682470617006317,-28.907481009822977,1.480478536366458,18
