,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.172110652923584,0.042190304352703614,0.025215673446655273,0.005251258316539619,50,{'n_estimators': 50},-26.16628010729583,-24.87292846921972,-28.010024721885465,-25.757117817294084,-24.942907157352717,-25.949851654609564,1.1403509496723863,48
1,1.4403510570526123,0.056032301993285544,0.026026296615600585,0.003889974814318702,70,{'n_estimators': 70},-26.208634349148433,-24.93798688728266,-27.939708026042414,-25.73392470159686,-24.82909379351292,-25.929869551516656,1.1270397845071338,47
2,1.7337515830993653,0.03172732359753315,0.04905858039855957,0.03502436017399466,90,{'n_estimators': 90},-26.22245892194264,-24.963077722170393,-27.840637548525493,-25.713479702459157,-24.837847647873062,-25.915500308594147,1.0871645090299633,46
3,2.2472140312194826,0.08602892353600375,0.03398489952087402,0.0014610264926892952,110,{'n_estimators': 110},-26.247519910428235,-24.928875113874124,-27.818061084441243,-25.65148950477261,-24.77034897634821,-25.88325891797289,1.1026585635257606,45
4,2.522002935409546,0.06489035048552054,0.047420167922973634,0.009784865473880185,130,{'n_estimators': 130},-26.26707937518184,-24.854979781900322,-27.848483736068047,-25.579716969881193,-24.759455317950536,-25.861943036196386,1.13310062415536,44
5,2.99762601852417,0.07009974725085293,0.04737734794616699,0.00619293692479756,150,{'n_estimators': 150},-26.26658348146517,-24.862137653720005,-27.816409189433557,-25.591916534076248,-24.760255215966342,-25.859460414932265,1.1198108934078577,43
6,3.6596833229064942,0.05227019613174757,0.059702730178833006,0.006417468481962092,170,{'n_estimators': 170},-26.288594906127578,-24.821861241192497,-27.825660855214906,-25.52333896439845,-24.76205241461517,-25.84430167630972,1.1351515881266563,42
7,4.012146949768066,0.04885324330963848,0.07440834045410157,0.020868099391512403,190,{'n_estimators': 190},-26.317354978968805,-24.79211851364959,-27.803777834804645,-25.52289586746153,-24.690404364674908,-25.8253103119119,1.1492078133047234,40
8,4.331681108474731,0.08127880831768576,0.06842160224914551,0.007419144697281015,210,{'n_estimators': 210},-26.31390926647216,-24.80979158452179,-27.790320320250746,-25.542908236136736,-24.686535517529766,-25.82869298498224,1.1408569857160826,41
9,4.806563663482666,0.5062533885325263,0.0902482509613037,0.035683969063803146,230,{'n_estimators': 230},-26.283412979721334,-24.777073679204328,-27.818789099592813,-25.531019434183122,-24.65934663274774,-25.81392836508987,1.1600040040978385,39
10,4.976924133300781,0.04485657171966191,0.0732834815979004,0.00272283754074447,250,{'n_estimators': 250},-26.28167202541507,-24.712591751561895,-27.798312519870354,-25.534413979369905,-24.654282577851895,-25.796254570813822,1.165405660744633,32
11,5.023532724380493,0.19154706845762648,0.07929906845092774,0.008685057141859714,270,{'n_estimators': 270},-26.275115102720164,-24.710270802899185,-27.764789015481153,-25.51063061650667,-24.667942377014008,-25.78574958292424,1.1522077667792399,19
12,5.43951268196106,0.14933663028992764,0.08840899467468262,0.011806567063937599,290,{'n_estimators': 290},-26.27617656353443,-24.714409660236875,-27.74479961858563,-25.524353367875136,-24.673712899500654,-25.786690421946542,1.1429010487448592,20
13,5.903278636932373,0.2639824329709979,0.09107851982116699,0.004036563982485431,310,{'n_estimators': 310},-26.308033790969954,-24.682936350139506,-27.745526417485284,-25.4909054032853,-24.648642171588165,-25.775208826693643,1.1583690153948338,3
14,6.502960872650147,0.28958763008361316,0.10676279067993164,0.012454856374777177,330,{'n_estimators': 330},-26.33724684726012,-24.694221542213135,-27.741034966405483,-25.473349485112884,-24.65316425617137,-25.779803419432604,1.1574878130046187,8
15,6.8434703826904295,0.030047921256382722,0.11613545417785645,0.019492736684889666,350,{'n_estimators': 350},-26.350434339969258,-24.689786310791803,-27.757293518216617,-25.472877214774215,-24.636800080147996,-25.781438292779978,1.1683211031269123,12
16,6.898407745361328,0.21524943864514548,0.10937538146972656,0.002127867835366904,370,{'n_estimators': 370},-26.36938152261654,-24.705780421255447,-27.750162396869463,-25.441443083803602,-24.621777026065683,-25.77770889012215,1.169524104029468,5
17,7.2105207443237305,0.1814437611621753,0.11453804969787598,0.003904038756600446,390,{'n_estimators': 390},-26.39596600687066,-24.71511855680691,-27.750442670287985,-25.436513498634575,-24.618856043003255,-25.78337935512068,1.1715128758877544,16
18,7.3031598091125485,0.10152912727889155,0.10525321960449219,0.0037297542697129578,410,{'n_estimators': 410},-26.393389034071095,-24.691417756298037,-27.764134345780672,-25.4226999866776,-24.604258318143014,-25.77517988819408,1.1838886894565166,2
19,7.926025342941284,0.41012515045733794,0.18285565376281737,0.07152961819012686,430,{'n_estimators': 430},-26.37974218779441,-24.712058002809986,-27.747169798158538,-25.442143008257524,-24.601638956413638,-25.776550390686815,1.172396725759576,4
20,10.02572684288025,0.23224553260921724,0.17859835624694825,0.0166577933869838,450,{'n_estimators': 450},-26.383116531453137,-24.71734052965858,-27.769214128451264,-25.423106050252915,-24.60087779433914,-25.778731006831002,1.1804797300063041,7
21,11.325066375732423,1.0387937842716262,0.2769147872924805,0.15460613797686065,470,{'n_estimators': 470},-26.410523735620973,-24.717071067685684,-27.762985504510834,-25.41659915569522,-24.598928556894887,-25.78122160408152,1.182082236835452,10
22,12.658304929733276,0.14340707689787333,0.2594879627227783,0.01890221149422725,490,{'n_estimators': 490},-26.41189657599602,-24.719543556781538,-27.756556349185722,-25.413803903959824,-24.612597071935614,-25.782879491571748,1.1770746681562088,14
23,10.6815514087677,1.1530885533562012,0.166115140914917,0.04117127834870045,510,{'n_estimators': 510},-26.38296295172636,-24.716776740971568,-27.751100678751033,-25.411840323744226,-24.60809133988854,-25.774154407016347,1.1737109103646206,1
24,10.314540386199951,0.10198017068821479,0.1756387710571289,0.02876314949955678,530,{'n_estimators': 530},-26.389488256925528,-24.71016464851272,-27.772554749625925,-25.411265245971297,-24.609781533562845,-25.77865088691966,1.1825113549025634,6
25,10.44923243522644,0.1498982021105184,0.14758768081665039,0.004943215541235165,550,{'n_estimators': 550},-26.379244623773324,-24.720835976269168,-27.775072224070662,-25.416587290409662,-24.623095466430375,-25.78296711619064,1.17742843569692,15
26,10.14132480621338,0.11039371632582795,0.16146860122680665,0.00653616171179277,570,{'n_estimators': 570},-26.384366907055792,-24.71467079700768,-27.775333193557763,-25.40842035713887,-24.624997324192176,-25.781557715790456,1.179290524181847,13
27,10.433627939224243,0.1000839043613363,0.175643253326416,0.015777979860801254,590,{'n_estimators': 590},-26.399588331126477,-24.717162999581458,-27.778623564730836,-25.41670390211934,-24.635227430412446,-25.78946124559411,1.1789867732929504,28
28,11.073822927474975,0.06701654203474348,0.1688542366027832,0.004952067140635009,610,{'n_estimators': 610},-26.382467445928928,-24.725252943573086,-27.76255174772093,-25.416367849045297,-24.63124742331705,-25.783577481917057,1.1711333519796976,17
29,11.893275690078735,0.5046013641211118,0.30397629737854004,0.09466897054233532,630,{'n_estimators': 630},-26.385570445378114,-24.733212481735215,-27.76533238856798,-25.410844456727354,-24.627273789510504,-25.784446712383833,1.1720903575263053,18
30,13.331828022003174,0.09235242206226957,0.2876835823059082,0.10118572676613266,650,{'n_estimators': 650},-26.38743893142895,-24.741062008904333,-27.755928199419436,-25.428124605805042,-24.624283331891704,-25.787367415489893,1.167209695808476,23
31,12.764495515823365,0.37415912599563256,0.20207586288452148,0.016369542546514737,670,{'n_estimators': 670},-26.39410416012827,-24.731513323604055,-27.754314106075928,-25.41428651094963,-24.60972340112636,-25.780788300376848,1.172830336099325,9
32,12.717666339874267,0.0785179359421826,0.19389786720275878,0.014203486664785938,690,{'n_estimators': 690},-26.37607311838472,-24.735057289157332,-27.751587812948646,-25.429059421512534,-24.614724589646716,-25.781300446329986,1.1675088480496907,11
33,12.654884815216064,0.0748985958228573,0.19780735969543456,0.006209166388514444,710,{'n_estimators': 710},-26.380649747125002,-24.732131969199642,-27.767205267156438,-25.439033567842937,-24.614803832591136,-25.786764876783035,1.1731584463423357,21
34,13.10484504699707,0.08391842980475557,0.2029249668121338,0.013527935147759742,730,{'n_estimators': 730},-26.372230250769878,-24.744341157989,-27.761653341377233,-25.436194167317655,-24.62665920253367,-25.788215623997484,1.1660476693216624,26
35,13.59249439239502,0.08322719361066339,0.20336537361145018,0.003008958174238474,750,{'n_estimators': 750},-26.37424041174209,-24.741004964767836,-27.776501456963807,-25.438586029111246,-24.606999496028177,-25.78746647172263,1.1756585693711719,24
36,13.78848557472229,0.09231284060142765,0.2141887664794922,0.007912712581850981,770,{'n_estimators': 770},-26.37440731605961,-24.744684861941263,-27.78440708880568,-25.428583002335795,-24.61011920305242,-25.788440294438953,1.177676021883453,27
37,14.155221891403198,0.195995291804321,0.23211584091186524,0.006033129421630127,790,{'n_estimators': 790},-26.36639083953694,-24.743333741930282,-27.787851101468995,-25.42390840364038,-24.612761750081866,-25.786849167331688,1.1780499984794846,22
38,14.599324369430542,0.10948673785773805,0.23758583068847655,0.021684433798312388,810,{'n_estimators': 810},-26.36447870213211,-24.75010793156352,-27.78528654675052,-25.427460738505584,-24.610487335870783,-25.787564250964504,1.1760293256074366,25
39,14.93889307975769,0.23384215529475952,0.28505167961120603,0.03701574361953603,830,{'n_estimators': 830},-26.35818500159216,-24.752662819436758,-27.7920125246756,-25.431296628775456,-24.617707522122767,-25.790372899320545,1.1755759301820556,30
40,15.830484676361085,0.16343478724873836,0.2502729892730713,0.040518782885268806,850,{'n_estimators': 850},-26.358076567973438,-24.755899822803638,-27.781201607639677,-25.432982106230487,-24.6219909998105,-25.79003022089155,1.1703559118707134,29
41,16.278312826156615,0.10227008241687875,0.25208320617675783,0.025592481537850726,870,{'n_estimators': 870},-26.365277948281722,-24.761827036985228,-27.789918740684033,-25.441764791511403,-24.627847947376594,-25.797327292967793,1.1712690584771484,33
42,16.261889123916625,0.11223259582963062,0.24275050163269044,0.009482596679729841,890,{'n_estimators': 890},-26.368541780076033,-24.75924875186383,-27.793200290918843,-25.445987810501766,-24.63014680225134,-25.799425087122366,1.1724444377351106,36
43,16.648435163497926,0.21900326939661596,0.27275838851928713,0.01981745485744151,910,{'n_estimators': 910},-26.372082851416128,-24.759568082566787,-27.799564331653595,-25.442516247048232,-24.629379589544033,-25.800622220445756,1.175259947699113,38
44,17.037068557739257,0.08348616631687325,0.2624392032623291,0.007130724999108435,930,{'n_estimators': 930},-26.369944631629373,-24.751908405576188,-27.80039303714113,-25.441176785297444,-24.630864154738273,-25.79885740287648,1.1764804607737525,34
45,17.769979381561278,0.5973838167019443,0.4039334774017334,0.11931870147300984,950,{'n_estimators': 950},-26.370489897964628,-24.75626709595604,-27.793811055567193,-25.44578362065873,-24.63285785113752,-25.799841904256823,1.1728435136913486,37
46,18.73378825187683,0.2676426360378804,0.37500648498535155,0.07144212677845986,970,{'n_estimators': 970},-26.38354773164139,-24.74796731205092,-27.79693649459501,-25.444240514413572,-24.623408361279495,-25.79922008279608,1.1786420788008611,35
47,15.341243314743043,1.6143177792483812,0.18852872848510743,0.026046451072663106,990,{'n_estimators': 990},-26.383753288897648,-24.740978288410627,-27.791169928963164,-25.443933002112857,-24.6175578379902,-25.7954784692749,1.1791440561870257,31
