,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.648870038986206,0.010804685326564612,0.028403854370117186,0.001956182522995855,50,{'max_depth': 50},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
1,1.643739652633667,0.005654924381367627,0.031029653549194337,0.004759058859622615,70,{'max_depth': 70},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
2,1.613374900817871,0.012818132859484327,0.040515995025634764,0.0036560725943253197,90,{'max_depth': 90},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
3,1.9038581848144531,0.15453277877893276,0.03569841384887695,0.004781706030233051,110,{'max_depth': 110},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
4,2.0236178398132325,0.1103065335491094,0.041962718963623045,0.004697869137607932,130,{'max_depth': 130},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
5,2.2278590202331543,0.014175432744806862,0.04348535537719726,0.004038861316625325,150,{'max_depth': 150},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
6,2.098335886001587,0.10977817898250479,0.03326635360717774,0.00491327824402354,170,{'max_depth': 170},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
7,2.0026873111724854,0.013879021782773109,0.03266773223876953,0.00444489062763106,190,{'max_depth': 190},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
8,1.7437771320343018,0.0056131376809082775,0.03477668762207031,0.0020130953109780865,210,{'max_depth': 210},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
9,1.7523329734802247,0.018500095193828777,0.03484325408935547,0.004179113863479499,230,{'max_depth': 230},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
10,1.7372916221618653,0.004685862390166064,0.032391834259033206,0.0014203036679072756,250,{'max_depth': 250},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
11,1.8281379699707032,0.051799516322369746,0.031169605255126954,0.0028423783535521966,270,{'max_depth': 270},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
12,1.8219374179840089,0.04441426532000614,0.030637216567993165,0.0018884089595891497,290,{'max_depth': 290},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
13,1.719748592376709,0.04214958091987482,0.03377838134765625,0.004953451351250176,310,{'max_depth': 310},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
14,1.7214625835418702,0.009801312777344251,0.031948518753051755,0.004688987027592156,330,{'max_depth': 330},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
15,1.7069223403930665,0.00809445885872507,0.031539201736450195,0.0025186223631523653,350,{'max_depth': 350},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
16,1.7094666004180907,0.014732055841787415,0.02768101692199707,0.001007708593597039,370,{'max_depth': 370},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
17,1.6908161640167236,0.030026490677672494,0.028482770919799803,0.0017273112380429025,390,{'max_depth': 390},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
18,1.6552747726440429,0.010580117743389178,0.030329799652099608,0.0021690463688313804,410,{'max_depth': 410},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
19,1.644214677810669,0.008591210131317771,0.029064702987670898,0.003917846096362362,430,{'max_depth': 430},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
20,1.6609369754791259,0.030299705287316327,0.029448270797729492,0.0011429295610868356,450,{'max_depth': 450},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
21,1.7235214710235596,0.004681745447529911,0.03326606750488281,0.003592406645439952,470,{'max_depth': 470},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
22,1.3506946563720703,0.30804652557729634,0.022596979141235353,0.007229072806140768,490,{'max_depth': 490},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
