,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4288051128387451,0.006752248407398095,0.0184023380279541,0.0024974140289295704,2,{'max_depth': 2},-27.823671388567725,-28.22165737476564,-31.1711228754969,-28.235487496955958,-27.76324590980589,-28.643037009118423,1.2790831049985567,21
1,1.6895830154418945,0.05839896251104042,0.035308551788330075,0.007692558733840521,22,{'max_depth': 22},-26.249444325599704,-24.93482435008467,-27.863578812830987,-25.648928596110053,-24.845425547567146,-25.908440326438516,1.103097915518422,20
2,1.8174724102020263,0.0732281358939846,0.0387453556060791,0.008084063555561662,42,{'max_depth': 42},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
3,2.033433723449707,0.07283542010533456,0.03889565467834473,0.005426422127918427,62,{'max_depth': 62},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
4,2.143260192871094,0.09726991069018821,0.036373138427734375,0.009097020558743152,82,{'max_depth': 82},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
5,1.9969637870788575,0.05809656085942024,0.0386082649230957,0.008222716930009965,102,{'max_depth': 102},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
6,2.0300944805145265,0.05343603254179873,0.028168392181396485,0.0011011383940499595,122,{'max_depth': 122},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
7,1.799054002761841,0.13017679694963377,0.030493831634521483,0.001931197140529157,142,{'max_depth': 142},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
8,1.703632640838623,0.010343408314759895,0.029266834259033203,0.0021254390866741633,162,{'max_depth': 162},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
9,1.6700811862945557,0.060804577350492155,0.028000783920288087,0.0023922336667056288,182,{'max_depth': 182},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
10,1.6805357933044434,0.047102233017729235,0.028600645065307618,0.0007429014793999798,202,{'max_depth': 202},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
11,1.748605489730835,0.013897101196102123,0.029848337173461914,0.0019553061444761767,222,{'max_depth': 222},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
12,1.8098886966705323,0.05229023060929201,0.027812433242797852,0.0014663089996192673,242,{'max_depth': 242},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
13,1.7603330135345459,0.031691211432900164,0.027718544006347656,0.001070246900328335,262,{'max_depth': 262},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
14,1.6587757110595702,0.012038551167989926,0.02928133010864258,0.0018359371831026053,282,{'max_depth': 282},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
15,1.6776582241058349,0.024591540767051404,0.031451416015625,0.003425352613049143,302,{'max_depth': 302},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
16,1.740701389312744,0.00522385837909575,0.028481769561767577,0.0010361553872604845,322,{'max_depth': 322},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
17,1.771519422531128,0.014460484282242963,0.030113601684570314,0.001638389983872119,342,{'max_depth': 342},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
18,1.7472262382507324,0.018837759563786114,0.02945842742919922,0.003039152923381552,362,{'max_depth': 362},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
19,1.719630241394043,0.011803623761596318,0.028079509735107422,0.0016581636701565742,382,{'max_depth': 382},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
20,1.3812247276306153,0.18487169047983354,0.021218061447143555,0.006079765908160129,402,{'max_depth': 402},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,1
