,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.9070839881896973,0.01278846927666471,0.03045763969421387,0.0017198436643421037,2,{'min_samples_split': 2},-26.21991018857673,-24.93454720752804,-27.830230868579097,-25.715326200289617,-24.840947785959415,-25.908192450186583,1.0877125771476723,4
1,1.2577827453613282,0.042122040863174434,0.023079395294189453,0.0009990441176979212,22,{'min_samples_split': 22},-26.043483733020803,-24.86135036572735,-27.75894842139903,-25.432250295587227,-24.571250171236276,-25.733456597394138,1.1314373377698306,1
2,1.0814577102661134,0.036615849224824255,0.027101802825927734,0.0026678193268994278,42,{'min_samples_split': 42},-26.062830181778562,-25.011708436141618,-27.94598190421978,-25.51416278021671,-24.466524485909932,-25.800241557653322,1.1962927065299291,2
3,1.004246425628662,0.02442478306903445,0.021978425979614257,0.0005370375906322334,62,{'min_samples_split': 62},-26.046376474063738,-25.11885651720533,-28.07917778034669,-25.670078815728388,-24.61364031564973,-25.905625980598774,1.1906178010964514,3
4,0.9112102031707764,0.018628790187102746,0.025299596786499023,0.00240114750495734,82,{'min_samples_split': 82},-26.060903170099763,-25.26638867730819,-28.303741303091847,-25.87810094959251,-24.747560266534695,-26.051338873325403,1.21814654499058,5
5,0.8132680416107178,0.01392904978571261,0.021632909774780273,0.0005643607993869155,102,{'min_samples_split': 102},-26.122937901874646,-25.48936016375476,-28.550056565492476,-26.0408068430658,-24.903893138431076,-26.221410922523752,1.2439177404189206,6
6,0.7640419006347656,0.010243541774511812,0.0217740535736084,0.0016293734528763698,122,{'min_samples_split': 122},-26.231888116232835,-25.736552668458607,-28.819811317092334,-26.217089562952882,-25.135161530736593,-26.428100639094644,1.2612085576337488,7
7,0.7385303974151611,0.006598135608016113,0.02156839370727539,0.0019166868175799036,142,{'min_samples_split': 142},-26.42882385012651,-25.963777183261158,-29.080465049456034,-26.331110231390355,-25.348098057101385,-26.630454874267087,1.2823190159910052,8
8,0.6809192180633545,0.0110507900285901,0.020648622512817384,0.002989716698981849,162,{'min_samples_split': 162},-26.608880633307958,-26.11008013238828,-29.244314067028352,-26.504359899713233,-25.53582557404287,-26.80069206129614,1.2784932497060937,9
9,0.656694746017456,0.008257771221461273,0.021018075942993163,0.002229744574632291,182,{'min_samples_split': 182},-26.775183303351398,-26.255047859018788,-29.401182021542088,-26.62875988983959,-25.717651394173174,-26.955564893585006,1.276208142339547,10
10,0.6264213562011719,0.011235667593956293,0.024028825759887695,0.0028961608134155195,202,{'min_samples_split': 202},-26.87833824903617,-26.41276574320712,-29.532986961526067,-26.741754603526587,-25.92197567071694,-27.097564245602577,1.2614992533081921,11
11,0.6107889175415039,0.013558585818741673,0.021733522415161133,0.002241150445070767,222,{'min_samples_split': 222},-26.946368112812593,-26.540622789330733,-29.631406147405293,-26.844075058925537,-26.054976075269646,-27.20348963674876,1.2528802622636412,12
12,0.6056862831115722,0.009970911466953218,0.019669532775878906,0.0010127362312462715,242,{'min_samples_split': 242},-26.98499142014329,-26.686170144859005,-29.75845050611902,-26.93092004896165,-26.211666563370834,-27.31443973669076,1.2521696000979776,13
13,0.5745726585388183,0.008740549389184017,0.02190256118774414,0.0022782300125271182,262,{'min_samples_split': 262},-27.02724259450918,-26.797909679694968,-29.859740397074923,-27.019265581868382,-26.33459302276418,-27.40775025518233,1.2515217976664563,14
14,0.560265302658081,0.009940547026058372,0.02088918685913086,0.0034535759032693083,282,{'min_samples_split': 282},-27.065558821165087,-26.926417189304747,-29.981126101630494,-27.14142349096247,-26.49215369453952,-27.521335859520462,1.2502622368560254,15
15,0.5486361980438232,0.005212655163561709,0.018874454498291015,0.0014651556431137217,302,{'min_samples_split': 302},-27.122491273264338,-27.05053538993003,-30.08321361852465,-27.25097129946765,-26.623276066161697,-27.62609752946967,1.2464895578030413,16
16,0.5369656085968018,0.010828341664572076,0.01915283203125,0.0015436976571058516,322,{'min_samples_split': 322},-27.188587886527998,-27.187322154067587,-30.212501134298453,-27.335122162007018,-26.704381071453653,-27.725582881670938,1.261599250295598,17
17,0.555165958404541,0.025221679883123824,0.022162675857543945,0.00460564664469251,342,{'min_samples_split': 342},-27.242632394669254,-27.337786017102875,-30.396964921217865,-27.42164441679826,-26.864917663821362,-27.852789082721927,1.2862445880931033,18
18,0.5673508167266845,0.011072290311939336,0.02039179801940918,0.0021517743615451315,362,{'min_samples_split': 362},-27.29120965983659,-27.483880516117043,-30.580170437436824,-27.55406176570998,-27.006367696813175,-27.983138015182725,1.3123099469449788,19
19,0.5121464252471923,0.022719290490896476,0.019057321548461913,0.0014814224115907947,382,{'min_samples_split': 382},-27.385001467607513,-27.587093769855148,-30.73273596679061,-27.68050199439942,-27.106625113582272,-28.098391662446993,1.3317923022001275,20
20,0.4428776741027832,0.03241804361445356,0.014452409744262696,0.0026400043095979203,402,{'min_samples_split': 402},-27.488612512544034,-27.798849863749545,-30.917116274360794,-27.815941099040366,-27.289047337790336,-28.26191341749701,1.3422283019949586,21
